age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
39,stategov,bachelors,nevermarried,admclerical,notinfamily,white,Male,40,unitedstates,<=50K
50,selfempnotinc,bachelors,marriedcivspouse,execmanagerial,husband,white,Male,13,unitedstates,<=50K
38,private,hsgrad,divorced,handlerscleaners,notinfamily,white,Male,40,unitedstates,<=50K
53,private,11th,marriedcivspouse,handlerscleaners,husband,black,Male,40,unitedstates,<=50K
28,private,bachelors,marriedcivspouse,profspecialty,wife,black,Female,40,cuba,<=50K
37,private,masters,marriedcivspouse,execmanagerial,wife,white,Female,40,unitedstates,<=50K
52,selfempnotinc,hsgrad,marriedcivspouse,execmanagerial,husband,white,Male,45,unitedstates,>50K
31,private,masters,nevermarried,profspecialty,notinfamily,white,Female,50,unitedstates,>50K
42,private,bachelors,marriedcivspouse,execmanagerial,husband,white,Male,40,unitedstates,>50K
30,stategov,bachelors,marriedcivspouse,profspecialty,husband,asianpacislander,Male,40,india,>50K
23,private,bachelors,nevermarried,admclerical,ownchild,white,Female,30,unitedstates,<=50K
34,private,7th8th,marriedcivspouse,transportmoving,husband,amerindianeskimo,Male,45,mexico,<=50K
38,selfempnotinc,hsgrad,nevermarried,farmingfishing,ownchild,white,Male,35,unitedstates,<=50K
32,private,hsgrad,nevermarried,machineopinspct,unmarried,white,Male,40,unitedstates,<=50K
38,private,11th,marriedcivspouse,sales,husband,white,Male,50,unitedstates,<=50K
43,selfempnotinc,masters,divorced,execmanagerial,unmarried,white,Female,45,unitedstates,>50K
40,private,doctorate,marriedcivspouse,profspecialty,husband,white,Male,60,unitedstates,>50K
54,private,hsgrad,separated,otherservice,unmarried,black,Female,20,unitedstates,<=50K
35,federalgov,9th,marriedcivspouse,farmingfishing,husband,black,Male,40,unitedstates,<=50K
43,private,11th,marriedcivspouse,transportmoving,husband,white,Male,40,unitedstates,<=50K
59,private,hsgrad,divorced,techsupport,unmarried,white,Female,40,unitedstates,<=50K
56,localgov,bachelors,marriedcivspouse,techsupport,husband,white,Male,40,unitedstates,>50K
39,private,hsgrad,divorced,execmanagerial,notinfamily,white,Male,80,unitedstates,<=50K
49,private,hsgrad,marriedcivspouse,craftrepair,husband,white,Male,40,unitedstates,<=50K
20,private,somecollege,nevermarried,sales,ownchild,black,Male,44,unitedstates,<=50K
45,private,bachelors,divorced,execmanagerial,ownchild,white,Male,40,unitedstates,<=50K
30,federalgov,somecollege,marriedcivspouse,admclerical,ownchild,white,Male,40,unitedstates,<=50K
22,stategov,somecollege,marriedcivspouse,otherservice,husband,black,Male,15,unitedstates,<=50K
48,private,11th,nevermarried,machineopinspct,unmarried,white,Male,40,puertorico,<=50K
21,private,somecollege,nevermarried,machineopinspct,ownchild,white,Male,40,unitedstates,<=50K
19,private,hsgrad,marriedafspouse,admclerical,wife,white,Female,25,unitedstates,<=50K
48,selfempnotinc,assocacdm,marriedcivspouse,profspecialty,husband,white,Male,40,unitedstates,<=50K
31,private,9th,marriedcivspouse,machineopinspct,husband,white,Male,43,unitedstates,<=50K
53,selfempnotinc,bachelors,marriedcivspouse,profspecialty,husband,white,Male,40,unitedstates,<=50K
24,private,bachelors,marriedcivspouse,techsupport,husband,white,Male,50,unitedstates,<=50K
49,private,hsgrad,separated,admclerical,unmarried,white,Female,40,unitedstates,<=50K
25,private,hsgrad,nevermarried,handlerscleaners,notinfamily,white,Male,35,unitedstates,<=50K
57,federalgov,bachelors,marriedcivspouse,profspecialty,husband,black,Male,40,unitedstates,>50K
53,private,hsgrad,marriedcivspouse,machineopinspct,husband,white,Male,38,unitedstates,<=50K
44,private,masters,divorced,execmanagerial,unmarried,white,Female,40,unitedstates,<=50K
41,stategov,assocvoc,marriedcivspouse,craftrepair,husband,white,Male,40,unitedstates,<=50K
29,private,assocvoc,nevermarried,profspecialty,notinfamily,white,Male,43,unitedstates,<=50K
47,private,profschool,marriedcivspouse,profspecialty,wife,white,Female,60,honduras,>50K
50,federalgov,bachelors,divorced,execmanagerial,notinfamily,white,Male,55,unitedstates,>50K
47,selfempinc,hsgrad,divorced,execmanagerial,notinfamily,white,Male,60,unitedstates,<=50K
43,private,somecollege,marriedcivspouse,techsupport,husband,white,Male,40,unitedstates,>50K
46,private,5th6th,marriedcivspouse,machineopinspct,husband,white,Male,40,mexico,<=50K
35,private,assocvoc,marriedcivspouse,otherservice,husband,white,Male,40,puertorico,<=50K
30,private,hsgrad,marriedcivspouse,machineopinspct,husband,white,Male,40,unitedstates,<=50K
30,private,bachelors,marriedcivspouse,sales,husband,white,Male,40,unitedstates,<=50K
48,private,hsgrad,marriedcivspouse,transportmoving,husband,white,Male,40,unitedstates,<=50K
42,private,doctorate,marriedcivspouse,profspecialty,husband,white,Male,45,unitedstates,>50K
29,private,somecollege,divorced,techsupport,notinfamily,white,Male,58,unitedstates,<=50K
36,private,hsgrad,marriedcivspouse,craftrepair,husband,white,Male,40,unitedstates,<=50K
28,private,somecollege,divorced,admclerical,notinfamily,white,Female,40,unitedstates,<=50K
53,private,hsgrad,marriedcivspouse,admclerical,wife,white,Female,40,unitedstates,>50K
49,selfempinc,somecollege,marriedcivspouse,execmanagerial,husband,white,Male,50,unitedstates,>50K
19,private,somecollege,nevermarried,profspecialty,ownchild,white,Male,32,unitedstates,<=50K
31,private,bachelors,separated,sales,ownchild,black,Female,40,unitedstates,<=50K
29,selfempnotinc,bachelors,marriedcivspouse,sales,husband,white,Male,70,unitedstates,>50K
23,private,somecollege,nevermarried,machineopinspct,notinfamily,white,Male,40,unitedstates,<=50K
79,private,somecollege,marriedcivspouse,profspecialty,otherrelative,white,Male,20,unitedstates,<=50K
27,private,hsgrad,nevermarried,otherservice,ownchild,white,Male,40,mexico,<=50K
40,private,assocacdm,marriedcivspouse,admclerical,husband,white,Male,40,unitedstates,<=50K
18,private,11th,nevermarried,otherservice,ownchild,white,Female,22,unitedstates,<=50K
18,private,hsgrad,nevermarried,sales,notinfamily,white,Male,30,unitedstates,<=50K
52,private,bachelors,marriedcivspouse,otherservice,husband,white,Male,40,cuba,<=50K
46,private,hsgrad,marriedcivspouse,otherservice,wife,white,Female,40,unitedstates,<=50K
53,private,hsgrad,divorced,sales,ownchild,white,Female,35,unitedstates,<=50K
49,localgov,hsgrad,marriedcivspouse,protectiveserv,husband,white,Male,40,unitedstates,>50K
33,private,masters,marriedcivspouse,profspecialty,husband,white,Male,50,unitedstates,<=50K
30,private,9th,nevermarried,sales,notinfamily,white,Male,40,unitedstates,<=50K
43,federalgov,doctorate,nevermarried,profspecialty,notinfamily,white,Female,50,unitedstates,>50K
57,private,assocvoc,marriedcivspouse,profspecialty,husband,white,Male,40,unitedstates,<=50K
37,private,somecollege,divorced,craftrepair,unmarried,white,Female,40,unitedstates,<=50K
28,private,somecollege,divorced,machineopinspct,unmarried,black,Female,25,unitedstates,<=50K
37,private,somecollege,marriedcivspouse,sales,husband,white,Male,48,unitedstates,>50K
38,federalgov,hsgrad,nevermarried,otherservice,ownchild,black,Male,40,unitedstates,<=50K
